服装编号                销售单号        客户购买数量             支付方式           客户享受折扣             应收款              实收款
168                 1660559767          3                   现金                0.75                1518.0              1138.0              
284                 1660622382          2                   银行卡              0.8                 1954.0              1563.0              
167                 1660913292          2                   现金                0.75                380.0               285.0               
284                 1661419962          3                   支付宝              0.85                2931.0              2491.0              
74                  1661441034          2                   支付宝              0.8                 1946.0              1557.0              
260                 1661463994          1                   支付宝              0.9                 393.0               354.0               
94                  1661505482          3                   现金                0.7                 3096.0              2167.0              
216                 1661629318          3                   现金                0.75                855.0               641.0               
174                 1662149795          2                   银行卡              0.75                1248.0              936.0               
208                 1662723130          2                   支付宝              0.75                808.0               606.0               
225                 1662903493          1                   微信                0.9                 290.0               261.0               
202                 1663134724          1                   支付宝              0.5                 523.0               262.0               
166                 1663714396          2                   现金                0.75                1540.0              1155.0              
106                 1663761827          3                   微信                0.9                 1590.0              1431.0              
134                 1663829938          2                   现金                0.75                1938.0              1454.0              
86                  1663874284          2                   支付宝              0.9                 1228.0              1105.0              
298                 1663946775          3                   银行卡              0.85                2292.0              1948.0              
133                 1664467122          2                   支付宝              0.95                816.0               775.0               
116                 1665029781          3                   微信                0.75                2565.0              1924.0              
42                  1665508595          2                   支付宝              0.85                2174.0              1848.0              
230                 1665680802          1                   支付宝              0.95                969.0               921.0               
146                 1665724929          3                   现金                0.8                 1110.0              888.0               
238                 1665950563          2                   微信                0.6                 2136.0              1282.0              
53                  1666026205          2                   银行卡              0.7                 910.0               637.0               
10                  1666162354          1                   现金                0.7                 956.0               669.0               
267                 1666170238          3                   银行卡              0.7                 2880.0              2016.0              
119                 1666594798          3                   支付宝              0.9                 1179.0              1061.0              
114                 1666657510          3                   银行卡              0.85                1458.0              1239.0              
247                 1666727374          2                   微信                0.85                1496.0              1272.0              
256                 1666763591          3                   支付宝              0.8                 1221.0              977.0               
29                  1666904544          3                   支付宝              0.85                744.0               632.0               
173                 1667080213          1                   银行卡              0.95                1044.0              992.0               
94                  1667098542          3                   支付宝              0.6                 3096.0              1858.0              
50                  1667405267          2                   微信                0.95                302.0               287.0               
205                 1667454650          3                   银行卡              0.9                 1308.0              1177.0              
94                  1667648780          2                   支付宝              0.9                 2064.0              1858.0              
269                 1668000570          3                   现金                0.95                1734.0              1647.0              
297                 1668167161          2                   微信                0.6                 1432.0              859.0               
81                  1668648179          3                   支付宝              0.95                1755.0              1667.0              
104                 1670045189          3                   支付宝              0.5                 714.0               357.0               
274                 1670118325          1                   银行卡              0.75                236.0               177.0               
114                 1670191635          3                   微信                0.75                1458.0              1094.0              
23                  1671031763          2                   现金                0.95                300.0               285.0               
249                 1671683087          3                   现金                0.95                3135.0              2978.0              
14                  1671985981          1                   现金                0.7                 593.0               415.0               
243                 1672269274          3                   银行卡              0.5                 1485.0              742.0               
121                 1672773148          3                   银行卡              0.9                 1182.0              1064.0              
248                 1673426167          3                   支付宝              0.6                 1488.0              893.0               
86                  1673754034          1                   现金                0.8                 614.0               491.0               
154                 1673875500          1                   微信                0.7                 121.0               85.0                
57                  1677378214          2                   微信                0.85                1570.0              1335.0              
263                 1679593313          2                   银行卡              0.75                1108.0              831.0               
20                  1712326636          2                   微信                0.9                 1220.0              1098.0              
